学校简称,学校全称,出版社,网址,学校等级,CCF等级,所属学科,所属类型
IDC,Interaction Design and Children,ACM,http://dblp.uni-trier.de/db/conf/acmidc/,B,C,人机交互与普适计算,会议
AVI,International Working Conference on Advanced Visual Interfaces,ACM,http://dblp.uni-trier.de/db/conf/avi/,B,C,人机交互与普适计算,会议
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.uni-trier.de/db/conf/uic/,B,C,人机交互与普适计算,会议
DIS,ACM Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis,B,C,人机交互与普适计算,会议
Haptics,IEEE World Haptics Conference,IEEE,http://dblp.uni-trier.de/db/conf/haptics/,B,C,人机交互与普适计算,会议
CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.uni-trier.de/db/conf/cscwd/,B,C,人机交互与普适计算,会议
CollaborateCom,International Conference on Collaborative Computing,Springer,http://collaboratecom.org,B,C,人机交互与普适计算,会议
RTSS,Real-Time Systems Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtss/,A,A,交叉/综合/新兴,会议
WWW,International World Wide Web Conferences,ACM,http://dblp.uni-trier.de/db/conf/www/,A,A,交叉/综合/新兴,会议
EMSOFT,International Conference on Embedded Software,ACM/IEEE/IFIP,http://dblp.uni-trier.de/db/conf/emsoft/,A-,B,交叉/综合/新兴,会议
ISMB,International conference on Intelligent Systems for Molecular Biology,Oxford Journals,http://www.iscb.org/about-ismb,A-,B,交叉/综合/新兴,会议
CogSci,Cognitive Science Society Annual Conference,Psychology Press,http://cognitivesciencesociety.org,A-,B,交叉/综合/新兴,会议
RECOMB,International Conference on Research in Computational Molecular Biology,Springer,http://dblp.uni-trier.de/db/conf/recomb/,A-,B,交叉/综合/新兴,会议
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,IEEE,http://dblp.uni-trier.de/db/conf/bibm/,A-,B,交叉/综合/新兴,会议
AMIA,American Medical Informatics Association Annual Symposium,AMIA,http://dblp.uni-trier.de/db/conf/amia/,B,C,交叉/综合/新兴,会议
APBC,Asia Pacific Bioinformatics Conference,BioMed Central,http://dblp.uni-trier.de/db/conf/apbc/,B,C,交叉/综合/新兴,会议
COSIT,International Conference on Spatial Information Theory,ACM,http://dblp.uni-trier.de/db/conf/cosit/,B,C,交叉/综合/新兴,会议
CLOUD,IEEE International Conference on Cloud Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEcloud/,B,C,交叉/综合/新兴,会议
